7521,Health Education Authority
7522,Boxtree; Channel 4 Books
7524,Tempus Publishing
7525,Parragon
7528,Orion Media
7530,London School of Economicsand Political Science
7531,ISIS
7534,Kingfisher
7535,Virgin Books
7536,Primary Source Media
7537,Octopus Publishing Group
7538,Phoenix
7540,Chivers
7541,Minerva Press
7545,Tolley
7546,Ashgate Publishing
7548,Lorenz
7551,House of Stratus
7557,Stationery Office (Éire)
7559,The Stationery Office(Scotland)
7566,DK Publishing Special Markets
7567,Diane Publishing
7573,HCI Teens
7575,Kendall/Hunt Publishing
7577,Apostolic Book Publishers
7579,Kalmus
7586,Concordia Publishing House
7591,AltaMira Press
7596,1st Books Library
7600,Course Technology
7603,Motorbooks International
7607,Barnes & Noble Books
7611,Workman Publishing
7613,Twenty-First Century Books; Millbrook Press
7614,Marshall Cavendish
7615,Forum/Prima Lifestyles
7616,Therapy Skill Builders
7618,University Press of America
7619,SAGE Publications
7623,JAI Press
7624,Running Press
7625,Running Press
7627,TwoDot; Globe Pequot
7631,Browntrout Publishers
7636,Candlewick
7637,Jones and Bartlett Publishers
7641,Barron's Educational Series
7643,Schiffer Publishing
7644,Group Publishing
7645,IDGBooks Worldwide
7648,Liguori/Triumph
7649,Pomegranate Communications; Liguori Publications
7653,Tom DohertyAssociates books
7656,M. E. Sharpe
7657,Jason Aronson
7658,Transaction Publishers
7660,Enslow Publishers
7661,Kessinger Publishing
7668,Delmar Publishers
7670,New Video Group
7673,Convention Press
7674,Mayfield Publishing
7678,Columbia TriStar Home Entertainment
7679,Broadway Books, Morgan Road Books
7680,Society of Automotive Engineers
7692,Warner Bros.Communications
7693,Singular
7694,Sterling Entertainment
7695,IEEE Computer Society Press
7700,McGraw-HillRyerson (Canada)
7701,Paperjacks (Canada)
7703,Dalhousie University; Vine Press
7704,McClelland and Stewart
7705,Macmillan(Canada)
7709,Carleton University
7710,McClelland and Stewart
7713,University of Toronto
7714,University of Western Ontario; Mestengo Press
7715,Gage Publishing
7717,McGill University
7720,Clarke, Irwin
7723,Macmillan-NAL (Canada)
7725,Irwin Publishing
7727,University of Toronto
7729,Ontario Geological Survey
7730,Copp Clark Publishing
7733,American Home Treasures
7734,Edwin Mellen Press
7735,McGill-Queen's University Press
7736,General Publishing (Canada)
7737,Stoddart
7740,Coles Notes
7743,Ontario Publications Services Section
7744,Ontario Institute for Studies in Education
7746,Presses de l'Université Laval
7747,Harcourt Brace Jovanovich(Canada)
7748,University of British Columbia Press
7750,Librairie Beauchemin
7752,Actuelle
7753,Pierre Tisseyre; Cercle du livre de France (Canada)
7754,Québec: Éditeur officiel
7755,Fides
7757,Garneau
7758,Hurtubise HMH
7759,Éditions de l'homme
7760,Éditions du Jour
7761,Leméac
7762,Lidec
7766,University of Ottawa Press
7770,Presses de l'Université du Québec
7777,La Presse (Montréal)
7778,Queen's Printer for Ontario
7783,MIRA Books
7786,Madacy Entertainment
7798,Thomson Carswell
7800,Home Vision Entertainment/Janus Films
7803,Institute of Electrical and Electronics Engineers(IEEE)
